des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
TOTALE SET;2;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, MARATHON, STARCASINO, WILLIAMHILL;TENNIS | TORNEO DI PRAGA | Salkova, Dominika - Krejcikova, Barbora | TOTALE SET | 2
U/O INFO1 ACE;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;5;4;DOMUSBET, MARATHON, STANLEYBET;TENNIS | TORNEO DI KITZBUHEL | Hanfmann, Yannick - Halys, Quentin | U/O INFO1 ACE | UNDER
U/O INFO1 CLASSIFICATI;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, MARATHON;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring GARA | U/O INFO1 CLASSIFICATI | UNDER
U/O INFO1 INCL. O.T.;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL;BASKET | AUSTRALIA - NBL1 | Joondalup Wolves - Mandurah Magic | U/O INFO1 INCL. O.T. | OVER
U/O INFO1 PUNTI INCL. T.S.;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET;BASKET | SENEGAL - I DIVISIONE F. | Dakar Universite Club - Guediawaye Basket Academy | U/O INFO1 PUNTI INCL. T.S. | OVER
U/O INFO1 TIRI TOTALI SQUADRA 1 INCL.TS;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, DOMUSBET;CALCIO | MONDO - MONDIALI | Canada - Marocco | U/O INFO1 TIRI TOTALI SQUADRA 1 INCL.TS | OVER
U/O PUNTI SET X;Over;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;STARCASINO;BEACH VOLLEY | MONDO - BEACH PRO TOUR | Carracher I / Nicolaidis M - Sagstetter B / Sagstetter J | U/O PUNTI SET X | Over
VINCE 1°SET/MATCH;1/2;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;DOMUSBET;TENNIS | TORNEO DI PRAGA | Tagger, Lilli - Bejlek, Sara | VINCE 1°SET/MATCH | 1/2
VINCENTE;AARHUS GF;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;STARCASINO;CALCIO | DANIMARCA - I DIVISIONE | Superligaen 2025/26 | VINCENTE | AARHUS GF
VINCENTE;Altro;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, BBET, MARATHON, WILLIAMHILL;BASKET | USA - WNBA | WNBA 2026 - MVP | VINCENTE | Altro
