concessionario;nome_commerciale;num_ticket;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale;payout_potenziale_totale;pct_incompatibili;pct_non_mappati;pct_correlati_misti
ADMIRAL;FAENZA MENGOLINA;337;17;0;0;320;0;0;11439,6;372939,0;0,0;94,9555;0,0
ADMIRAL;POGGIBONSI TRENTO;318;31;0;0;287;0;0;3642,15;251308,18;0,0;90,2516;0,0
ADMIRAL;GENOVA P. DORIA;271;34;0;0;237;0;0;1411,6;626067,9;0,0;87,4539;0,0
ADMIRAL;ROMA GAI;279;42;0;0;237;0;0;7505,3;336349,64;0,0;84,9462;0,0
ADMIRAL;BOLOGNA CARRACCI;269;37;0;0;232;0;0;7075,8;391652,21;0,0;86,2454;0,0
ADMIRAL;ROMA CASILINA;265;35;0;0;230;0;0;8058,15;612918,48;0,0;86,7925;0,0
ADMIRAL;MONTEMURLO LABRIOLA;234;18;0;0;216;0;0;7851,7;330979,98;0,0;92,3077;0,0
ADMIRAL;MISANO ADRIATICO ADRIATICA;235;21;0;0;214;0;0;5993,2;1066361,92;0,0;91,0638;0,0
ADMIRAL;BRA VERDI;213;9;0;1;203;0;0;2318,3;249620,18;0,0;95,3052;0,4695
BBET;WWW.DNGAMES.IT;189;18;0;0;171;0;0;2055,45;188588,48;0,0;90,4762;0,0
ADMIRAL;ROVIGO EINAUDI;175;27;0;0;148;0;0;1605,9;147799,7;0,0;84,5714;0,0
ADMIRAL;ANCONA FLAMINIA;151;4;0;2;145;0;0;2403,4;210605,94;0,0;96,0265;1,3245
ADMIRAL;PINETO LIVORNO;163;19;0;0;144;0;0;2347,2;81702,86;0,0;88,3436;0,0
ADMIRAL;CASALE CORTE CERRO NOVARA;133;5;0;0;128;0;0;2011,15;211353,53;0,0;96,2406;0,0
ADMIRAL;ROVERETO TRENTO;129;13;0;0;116;0;0;1080,55;245908,38999999998;0,0;89,9225;0,0
ADMIRAL;CAMPI BISENZIO BARBERINESE;117;2;0;0;115;0;0;2106,0;70721,47;0,0;98,2906;0,0
ADMIRAL;ROMA CAPRANESI;115;2;0;0;113;0;0;1268,5;26660,97;0,0;98,2609;0,0
ADMIRAL;VICENZA CRISPI;117;7;0;1;109;0;0;5113,8;185135,04;0,0;93,1624;0,8547
ADMIRAL;CHIARAVALLE MATTEOTTI;119;11;0;0;108;0;0;2044,4;67898,04;0,0;90,7563;0,0
