iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
823;13660;7;5540555,05
824;12648;7;5021354,35
825;12876;7;4667527,01
826;12149;7;4523995,77
827;14502;7;5172049,22
828;13715;7;5697900,17
829;13238;7;5427039,86
830;12530;7;5487361,37
831;12890;7;4994363,24
832;12524;7;4990900,02
833;13184;7;4441357,67
834;13561;7;6002982,99
835;13921;7;4613957,88
836;13774;7;5261927,08
837;13073;7;4658955,66
838;13687;7;5437715,56
839;15156;7;6152497,25
840;12548;7;4121766,21
841;14230;7;6102463,75
842;12592;7;4915067,75
843;13391;7;5241573,93
844;13078;7;6156642,02
845;11594;7;4461107,61
846;11777;7;4120629,32
847;13588;7;4432854,51
848;14429;7;5636463,13
849;12269;7;5308403,7
850;14199;7;5570632,07
851;13907;7;6781903,88
852;14374;7;5696022,36
853;12143;7;4582591,76
854;14141;7;6984726,3
855;13892;7;5987649,35
856;14219;7;6105783,28
857;12250;7;5659144,02
858;12038;7;4372093,83
859;12767;7;5183624,43
860;14214;7;6547210,37
861;13320;7;5206552,58
862;13060;7;5266456,72
863;14762;7;5503617,33
864;13049;7;5615624,74
865;12385;7;5782554,97
866;12127;7;4683994,75
867;13750;7;6291641,01
868;13365;7;5046378,63
869;13110;7;5666212,3
870;12854;7;6125193,7
871;13488;7;5266305,96
872;13415;7;5277887,79
873;13441;7;5158484,85
874;12659;7;4673839,64
875;13958;7;5681299,0
876;13863;7;5561325,61
877;12866;7;5310211,51
878;13558;7;6505877,41
879;12082;7;3642728,0
880;13160;7;4105845,63
881;13066;7;5257400,27
882;13829;7;5650610,75
883;13961;7;6052128,96
884;13775;7;4571779,16
885;13211;7;5912465,46
886;13501;7;6222919,03
887;12176;7;5725414,77
888;14040;7;4615621,74
889;13914;7;5135550,01
890;13758;7;5074587,35
891;12755;7;4291667,83
892;13011;7;4648380,56
893;13184;7;5321340,35
894;13031;7;6310548,8
895;13492;7;5260532,0
896;13122;7;4849597,28
897;14224;7;6140029,13
898;12505;7;4429942,81
899;13696;7;5819354,46
900;13952;7;6003073,01
901;13582;7;5584704,41
902;13127;7;5363507,44
903;14783;7;5973468,99
904;14235;7;4943654,11
905;13766;7;6361816,82
906;13303;7;4765159,24
907;14608;7;6029903,66
908;13318;7;5166300,94
909;13416;7;5002715,44
910;14219;7;7175511,28
911;13426;7;5460677,58
912;12190;7;5523248,04
