concessionario;nome_commerciale;id_evento;evento_descrizione;quota_media;quota_min;quota_max;prob_implicita_media;num_ticket_coinvolti;num_righe_evento;importo_pagato_esposto;payout_potenziale_esposto;payout_potenziale_massimo_ticket;ticket_esclusi_montecarlo;ticket_incompatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_compatibili;righe_esito_mappato;righe_esito_non_mappato;num_famiglie_matrice;num_esiti_matrice;payout_incompatibile;payout_non_mappato;payout_misto;payout_correlato;impatto_atteso_stimato;impatto_compatibilita_stimato;pct_ticket_esclusi_montecarlo;pct_ticket_non_mappati;pct_righe_esito_non_mappato;peso_pct_su_nome_commerciale;peso_pct_su_concessionario
BBET;WWW.BBET.EU;E11067;CALCIO | GERMANIA - I DIVISIONE | Borussia Dortmund - Amburgo | 1X2 | 1;1,346481;1,32;1,36;0,74271;54;54;238,75;350169,8;50000,0;0;0;0;0;33;21;54;0;1;1;0,0;271929,52;0,0;0,0;260074,74607;54385,904;0,0;61,111111;0,0;0,905084;0,371796
BBET;WWW.BBET.EU;E13075;CALCIO | ITALIA - I DIVISIONE | Torino - Milan | 1X2 | 2;1,805385;1,79;2,08;0,554126;52;52;144,35;323875,9;50000,0;0;0;0;0;24;28;52;0;1;1;0,0;194515,96;0,0;0,0;179468,020498;38903,192;0,0;46,153846;0,0;0,837122;0,343878
BBET;WWW.BBET.EU;E11437;CALCIO | INGHILTERRA - I DIVISIONE | Arsenal - Coventry City | 1X2 | 1;1,177529;1,17;1,19;0,84925;85;85;521,65;322754,14;37637,06;0;0;0;0;63;22;85;0;1;1;0,0;227858,52;0,0;0,0;274098,951702;45571,704;0,0;74,117647;0,0;0,834223;0,342687
BBET;WWW.BBET.EU;E11122;CALCIO | GERMANIA - I DIVISIONE | SV 07 Elversberg - Bayer Leverkusen | 1X2 | 2;1,56;1,46;1,58;0,641146;26;26;92,5;304633,34;50000,0;0;0;0;0;18;8;26;0;1;1;0,0;217587,22;0,0;0,0;195314,4305;43517,444;0,0;69,230769;0,0;0,787386;0,323447
BBET;WWW.TOPBET24.IT;E12863;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | 1X2 | 2;1,487556;1,46;1,51;0,672323;45;45;258,4;301969,87;47979,72;0;0;0;0;35;10;45;0;1;1;0,0;291309,44;0,0;0,0;203021,167007;58261,888;0,0;77,777778;0,0;2,148346;0,320619
BBET;WWW.BBET.EU;E12668;CALCIO | ITALIA - COPPA | Torino - Carrarese Calcio 1908 | 1X2 | 1;1,40408;1,38;1,41;0,712239;125;125;839,6;300290,63;49900,2;0;0;0;0;78;47;125;0;1;1;0,0;253596,59;0,0;0,0;213878,606859;50719,318;0,0;62,4;0,0;0,776161;0,318836
BBET;WWW.BBET.EU;E12735;CALCIO | ITALIA - COPPA | Udinese - Padova | 1X2 | 1;1,392101;1,36;1,5;0,718685;119;119;780,05;286847,6;49900,2;0;0;0;0;73;46;119;0;1;1;0,0;240182,36;0,0;0,0;206153,137663;48036,472;0,0;61,344538;0,0;0,741415;0,304563
BBET;WWW.TOPBET24.IT;E11623;CALCIO | INGHILTERRA - I DIVISIONE | Manchester City - Bournemouth | 1X2 | 1;1,463214;1,45;1,49;0,683463;28;28;83,7;269410,71;47979,72;0;0;0;0;22;6;28;0;1;1;0,0;192027,63;0,0;0,0;184132,348345;38405,526;0,0;78,571429;0,0;1,916706;0,286049
BBET;WWW.BBET.EU;E13675;CALCIO | OLANDA - I DIVISIONE | Feyenoord - GO Ahead Eagles | 1X2 | 1;1,382683;1,37;1,4;0,723248;41;41;347,95;245434,72;49900,2;0;0;0;0;25;16;41;0;1;1;0,0;154512,89;0,0;0,0;177510,222839;30902,578;0,0;60,97561;0,0;0,634375;0,260593
BBET;WWW.BBET.EU;E13282;CALCIO | ITALIA - II DIVISIONE | Palermo FC - SS Juve Stabia | 1X2 | 1;1,612432;1,55;1,62;0,620298;37;37;88,95;236167,34;50000,0;0;0;0;0;25;12;37;0;1;1;0,0;142778,58;0,0;0,0;146494,061849;28555,716;0,0;67,567568;0,0;0,610422;0,250753
BBET;WWW.TOPBET24.IT;E11067;CALCIO | GERMANIA - I DIVISIONE | Borussia Dortmund - Amburgo | 1X2 | 1;1,344762;1,32;1,36;0,743664;21;21;61,3;235412,61;47979,72;0;0;0;0;16;5;21;0;1;1;0,0;229319,98;0,0;0,0;175067,910802;45863,996;0,0;76,190476;0,0;1,674828;0,249952
BBET;WWW.TOPBET24.IT;E10947;CALCIO | FRANCIA - I DIVISIONE | Paris Saint-Germain - Stade Rennes FC | 1X2 | 1;1,414762;1,38;1,43;0,706869;21;21;96,0;234115,49;47979,72;0;0;0;0;20;1;21;0;1;1;0,0;234013,75;0,0;0,0;165488,948546;46802,75;0,0;95,238095;0,0;1,6656;0,248574
DOMUSBET;WWW.DOMUSBET.IT;E19291;CALCIO | ITALIA - I DIVISIONE | Frosinone - Juventus | 1X2 | 2;1,459835;1,44;1,48;0,685068;303;303;1654,9;1550905,71;49281,75;0;0;0;1;138;164;303;0;1;1;0,0;280602,35;4957,22;0,0;1062475,527396;58599,08;0,0;45,544554;0,0;1,930206;1,930206
DOMUSBET;WWW.DOMUSBET.IT;E19211;CALCIO | ITALIA - I DIVISIONE | Atalanta - Sassuolo | 1X2 | 1;1,514518;1,5;1,52;0,660286;166;166;543,9;1169960,14;49147,84;0;0;0;0;61;105;166;0;1;1;0,0;200729,95;0,0;0,0;772508,672819;40145,99;0,0;36,746988;0,0;1,456094;1,456094
DOMUSBET;WWW.DOMUSBET.IT;E17946;CALCIO | INGHILTERRA - I DIVISIONE | Manchester City - Bournemouth | 1X2 | 1;1,440088;1,42;1,46;0,694425;113;113;564,25;1147667,95;49485,88;0;0;0;0;42;71;113;0;1;1;0,0;280813,87;0,0;0,0;796969,581219;56162,774;0,0;37,168142;0,0;1,42835;1,42835
DOMUSBET;WWW.DOMUSBET.IT;E20855;CALCIO | SPAGNA - I DIVISIONE | Atletico Madrid - Malaga CF | 1X2 | 1;1,293101;1,26;1,33;0,773399;129;129;773,45;1131061,31;49147,84;0;0;0;0;48;81;129;0;1;1;0,0;244633,26;0,0;0,0;874761,599828;48926,652;0,0;37,209302;0,0;1,407682;1,407682
DOMUSBET;WWW.DOMUSBET.IT;E17208;CALCIO | FRANCIA - I DIVISIONE | PSG - Rennes | 1X2 | 1;1,394578;1,37;1,41;0,717138;83;83;435,95;1120995,6;49485,88;0;0;0;0;23;60;83;0;1;1;0,0;213093,95;0,0;0,0;803909,068446;42618,79;0,0;27,710843;0,0;1,395154;1,395154
DOMUSBET;WWW.DOMUSBET.IT;E19486;CALCIO | ITALIA - I DIVISIONE | Roma - Fiorentina | 1X2 | 1;1,536241;1,49;1,55;0,650985;141;141;513,25;1103813,54;49147,84;0;0;0;0;42;99;141;0;1;1;0,0;108632,45;0,0;0,0;718566,079003;21726,49;0,0;29,787234;0,0;1,37377;1,37377
DOMUSBET;WWW.DOMUSBET.IT;E17906;CALCIO | INGHILTERRA - I DIVISIONE | Hull City - Manchester United | 1X2 | 2;1,420421;1,35;1,45;0,704302;95;95;316,1;1099002,5;49485,88;0;0;0;1;28;66;95;0;1;1;0,0;196685,62;4957,22;0,0;774029,286767;41815,734;0,0;29,473684;0,0;1,367782;1,367782
DOMUSBET;WWW.DOMUSBET.IT;E20990;CALCIO | SPAGNA - I DIVISIONE | Real Madrid - Real Sociedad | 1X2 | 1;1,409655;1,37;1,44;0,709484;87;87;467,8;1043874,58;49485,88;0;0;0;0;27;60;87;0;1;1;0,0;230642,33;0,0;0,0;740612,383375;46128,466;0,0;31,034483;0,0;1,299172;1,299172
DOMUSBET;WWW.DOMUSBET.IT;E19342;CALCIO | ITALIA - I DIVISIONE | Genoa - Napoli | 1X2 | 2;1,814;1,69;1,84;0,551396;205;205;859,3;900864,82;48982,71;0;0;0;0;88;117;205;0;1;1;0,0;147336,01;0,0;0,0;496733,516101;29467,202;0,0;42,926829;0,0;1,121187;1,121187
DOMUSBET;WWW.DOMUSBET.IT;E17177;CALCIO | FRANCIA - I DIVISIONE | Marsiglia - Strasburgo | 1X2 | 1;1,630976;1,62;1,73;0,613296;41;41;180,8;863642,73;49156,93;0;0;0;0;4;37;41;0;1;1;0,0;35670,53;0,0;0,0;529668,81208;7134,106;0,0;9,756098;0,0;1,074861;1,074861
DOMUSBET;WWW.DOMUSBET.IT;E17158;CALCIO | FRANCIA - I DIVISIONE | Lens - Auxerre | 1X2 | 1;1,586739;1,57;1,59;0,630234;46;46;252,3;804330,34;49147,84;0;0;0;0;6;40;46;0;1;1;0,0;15190,85;0,0;0,0;506916,603276;3038,17;0,0;13,043478;0,0;1,001043;1,001043
DOMUSBET;WWW.DOMUSBET.IT;E19399;CALCIO | ITALIA - I DIVISIONE | Inter - Monza | 1X2 | 1;1,21417;1,18;1,22;0,823631;247;247;1210,55;777899,26;48878,97;0;0;0;1;111;135;247;0;1;1;0,0;315575,85;4957,22;0,0;640702,042687;65593,78;0,0;44,939271;0,0;0,968148;0,968148
